T(sec)	WE1 Volts(mV)	WE1 Idir(mA)	WE1 Idif (mA)	
9.8000	194.026	-0.005176	
9.8200	193.032	-0.005193	
9.8400	192.036	-0.005205	
9.8600	191.036	-0.005217	
9.8800	190.037	-0.005235	
9.9000	189.041	-0.005248	
9.9200	188.046	-0.005268	
9.9400	187.044	-0.005286	
9.9600	186.040	-0.005307	
9.9800	185.038	-0.005323	
10.0000	184.040	-0.005339	
10.0200	183.038	-0.005356	
10.0400	182.041	-0.005369	
10.0600	181.039	-0.005380	
10.0800	180.044	-0.005395	
10.1000	179.041	-0.005406	
10.1200	178.043	-0.005423	
10.1400	177.045	-0.005439	
10.1600	176.047	-0.005459	
10.1800	175.051	-0.005475	
10.2000	174.057	-0.005492	
10.2200	173.059	-0.005512	
10.2400	172.062	-0.005524	
10.2600	171.070	-0.005537	
10.2800	170.074	-0.005549	
10.3000	169.079	-0.005564	
10.3200	168.081	-0.005578	
10.3400	167.087	-0.005594	
10.3600	166.090	-0.005612	
10.3800	165.095	-0.005632	
10.4000	164.097	-0.005649	
10.4200	163.105	-0.005667	
10.4400	162.110	-0.005682	
10.4600	161.112	-0.005697	
10.4800	160.114	-0.005711	
10.5000	159.113	-0.005723	
10.5200	158.112	-0.005734	
10.5400	157.113	-0.005745	
10.5600	156.117	-0.005763	
10.5800	155.115	-0.005778	
10.6000	154.113	-0.005795	
10.6200	153.115	-0.005812	
10.6400	152.117	-0.005831	
10.6600	151.123	-0.005844	
10.6800	150.129	-0.005856	
10.7000	149.133	-0.005864	
10.7200	148.135	-0.005875	
10.7400	147.137	-0.005887	
10.7600	146.139	-0.005901	
10.7800	145.141	-0.005915	
10.8000	144.142	-0.005932	
10.8200	143.147	-0.005954	
10.8400	142.151	-0.005971	
10.8600	141.152	-0.005992	
10.8800	140.151	-0.006008	
10.9000	139.152	-0.006024	
10.9200	138.160	-0.006039	
10.9400	137.163	-0.006048	
10.9600	136.164	-0.006060	
10.9800	135.162	-0.006074	
11.0000	134.161	-0.006088	
11.0200	133.161	-0.006105	
11.0400	132.161	-0.006126	
11.0600	131.165	-0.006143	
11.0800	130.165	-0.006162	
11.1000	129.165	-0.006178	
11.1200	128.168	-0.006187	
11.1400	127.171	-0.006198	
11.1600	126.176	-0.006211	
11.1800	125.179	-0.006219	
11.2000	124.185	-0.006231	
11.2200	123.193	-0.006245	
11.2400	122.192	-0.006259	
11.2600	121.196	-0.006276	
11.2800	120.197	-0.006292	
11.3000	119.198	-0.006307	
11.3200	118.202	-0.006323	
11.3400	117.207	-0.006338	
11.3600	116.211	-0.006348	
11.3800	115.211	-0.006361	
11.4000	114.214	-0.006374	
11.4200	113.220	-0.006386	
11.4400	112.226	-0.006403	
11.4600	111.231	-0.006419	
11.4800	110.230	-0.006435	
11.5000	109.235	-0.006453	
11.5200	108.236	-0.006471	
11.5400	107.236	-0.006484	
11.5600	106.242	-0.006500	
11.5800	105.246	-0.006514	
11.6000	104.254	-0.006528	
11.6200	103.262	-0.006543	
11.6400	102.264	-0.006560	
11.6600	101.270	-0.006576	
11.6800	100.279	-0.006590	
11.7000	99.287	-0.006607	
11.7200	98.296	-0.006625	
11.7400	97.301	-0.006645	
11.7600	96.303	-0.006662	
11.7800	95.305	-0.006679	
11.8000	94.305	-0.006690	
11.8200	93.309	-0.006703	
11.8400	92.311	-0.006716	
11.8600	91.314	-0.006733	
11.8800	90.319	-0.006752	
11.9000	89.321	-0.006772	
11.9200	88.321	-0.006790	
11.9400	87.320	-0.006808	
11.9600	86.325	-0.006825	
11.9800	85.324	-0.006842	
12.0000	84.322	-0.006858	
12.0200	83.319	-0.006873	
12.0400	82.316	-0.006888	
12.0600	81.316	-0.006899	
12.0800	80.319	-0.006914	
12.1000	79.320	-0.006927	
12.1200	78.326	-0.006948	
12.1400	77.326	-0.006969	
12.1600	76.327	-0.006987	
12.1800	75.329	-0.007003	
12.2000	74.332	-0.007015	
12.2200	73.336	-0.007030	
12.2400	72.341	-0.007047	
12.2600	71.348	-0.007059	
12.2800	70.347	-0.007073	
12.3000	69.353	-0.007088	
12.3200	68.354	-0.007107	
12.3400	67.358	-0.007124	
12.3600	66.362	-0.007142	
12.3800	65.366	-0.007162	
12.4000	64.366	-0.007180	
12.4200	63.372	-0.007200	
12.4400	62.373	-0.007214	
12.4600	61.381	-0.007226	
12.4800	60.389	-0.007239	
12.5000	59.396	-0.007257	
12.5200	58.395	-0.007275	
12.5400	57.394	-0.007292	
12.5600	56.393	-0.007309	
12.5800	55.393	-0.007331	
12.6000	54.396	-0.007351	
12.6200	53.398	-0.007371	
12.6400	52.404	-0.007392	
12.6600	51.408	-0.007408	
12.6800	50.413	-0.007424	
12.7000	49.420	-0.007439	
12.7200	48.429	-0.007460	
12.7400	47.433	-0.007476	
12.7600	46.439	-0.007499	
12.7800	45.440	-0.007521	
12.8000	44.442	-0.007543	
12.8200	43.443	-0.007564	
12.8400	42.448	-0.007586	
12.8600	41.453	-0.007604	
12.8800	40.459	-0.007624	
12.9000	39.462	-0.007637	
12.9200	38.468	-0.007654	
12.9400	37.471	-0.007671	
12.9600	36.474	-0.007690	
12.9800	35.478	-0.007712	
13.0000	34.481	-0.007733	
13.0200	33.476	-0.007756	
13.0400	32.472	-0.007774	
13.0600	31.470	-0.007798	
13.0800	30.468	-0.007818	
13.1000	29.470	-0.007836	
13.1200	28.474	-0.007855	
13.1400	27.476	-0.007875	
13.1600	26.479	-0.007893	
13.1800	25.482	-0.007913	
13.2000	24.484	-0.007936	
13.2200	23.491	-0.007962	
13.2400	22.496	-0.007985	
13.2600	21.502	-0.008008	
13.2800	20.509	-0.008029	
13.3000	19.511	-0.008049	
13.3200	18.514	-0.008071	
13.3400	17.521	-0.008089	
13.3600	16.528	-0.008107	
13.3800	15.535	-0.008124	
13.4000	14.545	-0.008144	
13.4200	13.546	-0.008166	
13.4400	12.550	-0.008191	
13.4600	11.556	-0.008214	
13.4800	10.560	-0.008240	
13.5000	9.572	-0.008265	
13.5200	8.580	-0.008287	
13.5400	7.585	-0.008306	
13.5600	6.585	-0.008327	
13.5800	5.586	-0.008349	
13.6000	4.588	-0.008370	
13.6200	3.591	-0.008393	
13.6400	2.596	-0.008415	
13.6600	1.604	-0.008443	
13.6800	0.610	-0.008469	
13.7000	-0.384	-0.008497	
